sido_code,sido_name,sigungu_code,sigungu_name,lat,lon
11,서울특별시,11110,종로구,37.5949173193147,126.977321294872
11,서울특별시,11140,중구,37.5601435645515,126.995968139708
11,서울특별시,11170,용산구,37.5313849658817,126.979906988236
11,서울특별시,11200,성동구,37.5510296891346,127.041058533321
11,서울특별시,11215,광진구,37.5467060833519,127.085743538941
11,서울특별시,11230,동대문구,37.5819565478932,127.054848127808
11,서울특별시,11260,중랑구,37.5978025938629,127.092880339594
11,서울특별시,11290,성북구,37.605701902397,127.017579491168
11,서울특별시,11305,강북구,37.6434739135588,127.01118897524
11,서울특별시,11320,도봉구,37.6691020802886,127.032368819558
11,서울특별시,11350,노원구,37.6525110479902,127.075034689337
11,서울특별시,11380,은평구,37.619211282575,126.9270228772
11,서울특별시,11410,서대문구,37.5777853091701,126.939063095715
11,서울특별시,11440,마포구,37.5593134925542,126.90827002745
11,서울특별시,11470,양천구,37.5247894102085,126.855477660235
11,서울특별시,11500,강서구,37.5612354282422,126.822806969987
11,서울특별시,11530,구로구,37.494405428562,126.856300578972
11,서울특별시,11545,금천구,37.460567564932,126.900820244409
11,서울특별시,11560,영등포구,37.5223082885755,126.910169467377
11,서울특별시,11590,동작구,37.4988768760721,126.951641454384
11,서울특별시,11620,관악구,37.4673756905882,126.94533715305
11,서울특별시,11650,서초구,37.4732954673461,127.031220311114
11,서울특별시,11680,강남구,37.496643894288,127.062985204248
11,서울특별시,11710,송파구,37.5056192415446,127.115295039724
11,서울특별시,11740,강동구,37.5504502432307,127.147011841766
26,부산광역시,26110,중구,35.1054777649765,129.031540159229
26,부산광역시,26140,서구,35.1038366309611,129.014953716842
26,부산광역시,26170,동구,35.1291863169525,129.044585579112
26,부산광역시,26200,영도구,35.0786879511769,129.064809560315
26,부산광역시,26230,부산진구,35.1652441104079,129.043060340962
26,부산광역시,26260,동래구,35.2062124413512,129.079220086997
26,부산광역시,26290,남구,35.1261367850437,129.09400637421
26,부산광역시,26320,북구,35.2292296109315,129.023439816224
26,부산광역시,26350,해운대구,35.1938533870775,129.153593410145
26,부산광역시,26380,사하구,35.089348397509,128.974348989036
26,부산광역시,26410,금정구,35.2588907400803,129.09153071655
26,부산광역시,26440,강서구,35.1383478736243,128.892400632762
26,부산광역시,26470,연제구,35.1824179804274,129.082935267148
26,부산광역시,26500,수영구,35.1613314645342,129.111162702945
26,부산광역시,26530,사상구,35.1580303720627,128.986592234076
26,부산광역시,26710,기장군,35.298011655192,129.20095599308
27,대구광역시,27110,중구,35.8665352870795,128.593605829897
27,대구광역시,27140,동구,35.9344263269652,128.685659919878
27,대구광역시,27170,서구,35.875001670122,128.549697600139
27,대구광역시,27200,남구,35.8351771566271,128.585329627647
27,대구광역시,27230,북구,35.928922369433,128.577204365929
27,대구광역시,27260,수성구,35.8338488599253,128.661274412621
27,대구광역시,27290,달서구,35.8274830974553,128.529212140453
27,대구광역시,27710,달성군,35.7595730524469,128.498298095736
28,인천광역시,28110,중구,37.4675339086202,126.480560474821
28,인천광역시,28140,동구,37.4829865777958,126.639746637373
