city_name,lat,lon,reg_id
봉화,36.9341307,128.9128821,11H10402
영양,36.6964131,129.1450322,11H10403
안동,36.5802373,128.7800357,11H10501
의성,36.3620052,128.6151413,11H10502
청송,36.3569355,129.0574298,11H10503
김천,36.0603835,128.0777247,11H10601
구미,36.207309,128.3555532,11H10602
군위,36.1701654,128.6482363,11H10707
고령,35.7370027,128.3055253,11H10604
성주,35.9071362,128.2336152,11H10605
대구,35.8294374,128.5655119,11H10701
영천,36.0156997,128.9427024,11H10702
경산,35.8337972,128.8090748,11H10703
청도,35.6739247,128.7832658,11H10704
칠곡,36.0153963,128.4629995,11H10705
울산,35.5537228,129.2380554,11H20101
양산,35.4018747,129.0410269,11H20102
부산,35.2100142,129.0688702,11H20201
창원,35.2028593,128.6000923,11H20301
김해,35.2721355,128.8452281,11H20304
통영,34.8544227,128.433182,11H20401
사천,35.0481566,128.1102419,11H20402
거제,34.8806427,128.6210824,11H20403
고성,38.3773762,128.3997526,11H20404
남해,34.8376721,127.8924234,11H20405
함양,35.5516407,127.7220624,11H20501
거창,35.7325671,127.9042308,11H20502
합천,35.576844,128.1421921,11H20503
밀양,35.4984942,128.7895971,11H20601
의령,35.3924481,128.2770734,11H20602
함안,35.2909696,128.4308338,11H20603
창녕,35.5083094,128.4931971,11H20604
진주,35.205153,128.1297905,11H20701
산청,35.368606,127.8843338,11H20703
하동,35.1381776,127.779014,11H20704
사리원,38.5023428,125.7516069,11I10001
신계,22.3704243,114.1234149,11I10002
해주,38.0375021,125.7079231,11I20001
개성,37.8537764,126.5661908,11I20002
신의주,40.0823213,124.4489192,11J10001
삭주(수풍),40.4485383,124.9442441,11J10002
구성,39.9474202,125.2230626,11J10003
강계,40.9676726,126.5990916,11J10005
희천,40.172424,126.2773134,11J10006
평양,39.0392193,125.7625241,11J20001
진남포(남포),38.7337168,125.412307,11J20002
양덕,39.2206329,126.6519806,11J20005
청진,41.7669671,129.723402,11K10001
웅기(선봉),42.3383958,130.3874889,11K10002
성진(김책),40.668162,129.1902694,11K10003
함흥,39.9838002,127.6124553,11K20001
혜산,41.387384,128.1744945,11K20004
원산,39.1538529,127.4460001,11L10001
고성(장전),35.0165117,128.2907283,11L10002
평강,38.4818662,127.2544065,11L10003
